,Offense,Longitude,Latitude
20867,4E-Common Assault,-76.685640993,39.2842863141
20868,Unknown Offense,-76.6835063277,39.2817558324
20869,Unknown Offense,-76.6100972198,39.2913120768
20870,Unknown Offense,-76.5655231474,39.2915026073
20871,Unknown Offense,-76.5655231474,39.2915026073
20872,Unknown Offense,-76.5655231474,39.2915026073
20873,Unknown Offense,-76.6808303228,39.3107746092
20874,Unknown Offense,-76.5689543737,39.325299118
20875,Unknown Offense,-76.6100078062,39.2376804306
20876,Unknown Offense,-76.5713337022,39.2971663608
20877,Unknown Offense,-76.5747675869,39.320735478
20878,Unknown Offense,-76.6094416339,39.3261848418
20879,Unknown Offense,-76.5734454889,39.3093418334
20880,4C-Agg. Asslt.- Oth.,-76.6671591221,39.2964242647
20881,4E-Common Assault,-76.619857988,39.2893748209
20882,4E-Common Assault,-76.6434883956,39.2836833041
20883,Unknown Offense,-76.6393481637,39.2843416666
20884,Unknown Offense,-76.6102341808,39.287893448
20885,Unknown Offense,-76.5936906744,39.3246912966
20886,Unknown Offense,-76.5936906744,39.3246912966
20887,Unknown Offense,-76.6274627079,39.2458712868
20888,Unknown Offense,-76.5719641019,39.3425789728
20889,Unknown Offense,-76.6678376187,39.3379089044
20890,Unknown Offense,-76.6678376187,39.3379089044
20891,Unknown Offense,-76.6678376187,39.3379089044
20892,Unknown Offense,-76.661501024,39.2932703809
20893,Unknown Offense,-76.6454848907,39.3125323303
20894,Unknown Offense,-76.6281833687,39.2498288735
20895,Unknown Offense,-76.6567568026,39.298439123
20896,Unknown Offense,-76.6569456982,39.2888936346
20897,Unknown Offense,-76.6247460923,39.2512298087
20898,Unknown Offense,-76.6247460923,39.2512298087
20899,Unknown Offense,-76.6247460923,39.2512298087
20900,Unknown Offense,-76.6247460923,39.2512298087
20901,Unknown Offense,-76.6411854071,39.3101763129
20902,Unknown Offense,-76.6411854071,39.3101763129
20903,Unknown Offense,-76.6411854071,39.3101763129
20904,Unknown Offense,-76.6153346641,39.3165111938
20905,Unknown Offense,-76.6169382938,39.3164452588
20906,Unknown Offense,-76.6343308063,39.2639372839
20907,Unknown Offense,-76.7014311051,39.3099006126
20908,Unknown Offense,-76.6502098428,39.2870279043
20909,Unknown Offense,-76.5874948243,39.2997309785
20910,Unknown Offense,-76.5874948243,39.2997309785
20911,Unknown Offense,-76.6468193141,39.268722104
20912,24-Towed Vehicle,-76.5896599787,39.3007104082
20913,4B-Agg. Asslt.- Cut,-76.5936453911,39.2890063189
20914,Unknown Offense,-76.6305320068,39.2857515416
20915,Unknown Offense,-76.6088637671,39.2923107271
20916,Unknown Offense,-76.6084348434,39.2928441739
20917,Unknown Offense,-76.6084348434,39.2928441739
20918,Unknown Offense,-76.6084348434,39.2928441739
20919,Unknown Offense,-76.6084348434,39.2928441739
20920,Unknown Offense,-76.6370114699,39.3054312132
20921,Unknown Offense,-76.6370114699,39.3054312132
20922,Unknown Offense,-76.5845345048,39.3114801952
20923,Unknown Offense,-76.5926145488,39.281862649
20924,Unknown Offense,-76.5816661526,39.3587779821
20925,Unknown Offense,-76.5843815954,39.3102236466
20926,Unknown Offense,-76.651401753,39.2703118052
20927,Unknown Offense,-76.5941433678,39.3199812078
20928,Unknown Offense,-76.5935387471,39.3075499808
20929,Unknown Offense,-76.6434439976,39.3069348753
20930,Unknown Offense,-76.64125295,39.2896910774
20931,Unknown Offense,-76.64125295,39.2896910774
20932,Unknown Offense,-76.64125295,39.2896910774
20933,Unknown Offense,-76.64125295,39.2896910774
20934,Unknown Offense,-76.6415401134,39.2953670679
20935,Unknown Offense,-76.6326202163,39.2989700382
20936,7A-Stolen Auto,-76.5345455673,39.2796130979
20937,Unknown Offense,-76.6345536497,39.2821006875
20938,Unknown Offense,-76.5848414261,39.3050341317
20939,Unknown Offense,-76.5848414261,39.3050341317
20940,Unknown Offense,-76.632603019,39.2828788716
20941,Unknown Offense,-76.6304138489,39.2813222316
20942,Unknown Offense,-76.5406138828,39.2825831748
20943,6D-Larceny- From Auto,-76.6163668605,39.2704650073
20944,Unknown Offense,-76.6501985881,39.2897247368
20945,Unknown Offense,-76.6295810326,39.2901198289
20946,Unknown Offense,-76.6408630667,39.2872337978
20947,Unknown Offense,-76.5693522951,39.2921348214
20948,Unknown Offense,-76.6451752081,39.2881648913
20949,Unknown Offense,-76.6394762782,39.2877007521
20950,Unknown Offense,-76.593735763,39.2914649613
20951,Unknown Offense,-76.6564931921,39.2885172792
20952,Unknown Offense,-76.6564931921,39.2885172792
20953,Unknown Offense,-76.6564931921,39.2885172792
20954,Unknown Offense,-76.633309771,39.2968930916
20955,Unknown Offense,-76.6036881899,39.300111241
20956,4C-Agg. Asslt.- Oth.,-76.5781783894,39.300182759
20957,Unknown Offense,-76.6237144711,39.2980541563
20958,Unknown Offense,-76.6259760476,39.2861408314
20959,4C-Agg. Asslt.- Oth.,-76.6650782764,39.2966181575
20960,4E-Common Assault,-76.5322308674,39.2827056751
20961,Unknown Offense,-76.6356789283,39.3042766852
20962,6C-Larceny- Shoplifting,-76.5818229326,39.359158776
20963,Unknown Offense,-76.6067882182,39.3527443799
20964,Unknown Offense,-76.6041314426,39.2961585457
20965,Unknown Offense,-76.6041314426,39.2961585457
20966,Unknown Offense,-76.6696925421,39.2857578318
20967,4E-Common Assault,-76.6352060451,39.2879131082
20968,Unknown Offense,-76.6739863585,39.2855511647
20969,Unknown Offense,-76.6265327949,39.296918671
20970,Unknown Offense,-76.5935245423,39.2824829839
20971,87-Narcotics,-76.60657354,39.2798726643
20972,Unknown Offense,-76.6310428425,39.2961781715
20973,Unknown Offense,-76.6048194881,39.339110933
20974,6C-Larceny- Shoplifting,-76.6267651072,39.2832292558
20975,Unknown Offense,-76.5867231372,39.2991257994
20976,Unknown Offense,-76.5867286697,39.299228136
20977,Unknown Offense,-76.6064501781,39.3523391182
20978,Unknown Offense,-76.6062200928,39.3161224211
20979,Unknown Offense,-76.5417268411,39.2766276969
20980,Unknown Offense,-76.5415912612,39.280579327
20981,Unknown Offense,-76.5442827739,39.2814306464
20982,5A-Burg. Res. (Force),-76.5750409354,39.2848125313
20983,4C-Agg. Asslt.- Oth.,-76.5935890752,39.2843913849
20984,7A-Stolen Auto,-76.6073356717,39.3381045795
20985,Unknown Offense,-76.6078220075,39.3172131277
20986,6D-Larceny- From Auto,-76.5515164093,39.3382460929
20987,Unknown Offense,-76.6749069021,39.3484279445
20988,Unknown Offense,-76.599374158,39.3473840435
20989,6D-Larceny- From Auto,-76.5538922073,39.2872274319
20990,Unknown Offense,-76.6404945356,39.3095284128
20991,6C-Larceny- Shoplifting,-76.694469112,39.3309568526
20992,Unknown Offense,-76.684762475,39.3387899717
20993,111-Protective Order,-76.5970713824,39.3455387304
20994,Unknown Offense,-76.6680183737,39.3389686266
20995,Unknown Offense,-76.6680183737,39.3389686266
20996,Unknown Offense,-76.590165903,39.2266822826
20997,Unknown Offense,-76.590165903,39.2266822826
20998,Unknown Offense,-76.590165903,39.2266822826
20999,Unknown Offense,-76.5614158963,39.3310534658
21000,Unknown Offense,-76.5539160016,39.3366430822
21001,Unknown Offense,-76.6466810111,39.2830744716
21002,Unknown Offense,-76.5814581383,39.2961092201
21003,Unknown Offense,-76.6043038754,39.3371553148
21004,Unknown Offense,-76.6826434327,39.3315056728
21005,Unknown Offense,-76.605474488,39.237187452
21006,Unknown Offense,-76.5979261588,39.3309918717
21007,Unknown Offense,-76.6727868306,39.310003849
21008,97-Search & Seizure,-76.6576344647,39.2819470085
21009,Unknown Offense,-76.6336581602,39.2584059386
21010,Unknown Offense,-76.5790577057,39.3091319196
21011,Unknown Offense,-76.6130867235,39.3208904011
21012,4B-Agg. Asslt.- Cut,-76.5905546207,39.3232919195
21013,Unknown Offense,-76.5795639529,39.3038354291
21014,Unknown Offense,-76.6256973857,39.2490746708
21015,4C-Agg. Asslt.- Oth.,-76.6420713282,39.2610487322
21016,Unknown Offense,-76.6546583536,39.2903297503
21017,Unknown Offense,-76.5828515547,39.2931078995
21018,Unknown Offense,-76.6104416488,39.316322426
21019,6C-Larceny- Shoplifting,-76.5781853806,39.3176619478
21020,Unknown Offense,-76.585067961,39.2987525338
21021,Unknown Offense,-76.5851758894,39.30681702
21022,Unknown Offense,-76.6507898366,39.2807538043
21023,Unknown Offense,-76.6462432621,39.3132966889
21024,Unknown Offense,-76.651462416,39.2852872011
21025,Unknown Offense,-76.5731973687,39.2897997961
21026,3AF-Robb Hwy-Firearm,-76.5936453911,39.2890063189
21027,5B-Burg. Res. (Att.),-76.5709690991,39.2892982304
21028,Unknown Offense,-76.5956324522,39.2889147161
21029,7A-Stolen Auto,-76.648214069,39.3102004751
21030,Unknown Offense,-76.6612568663,39.3098609896
21031,4E-Common Assault,-76.5825822297,39.340470469
21032,Unknown Offense,-76.6452177379,39.2824481499
21033,Unknown Offense,-76.6452177379,39.2824481499
21034,Unknown Offense,-76.6423516819,39.2751346448
21035,Unknown Offense,-76.6456034318,39.2862457484
21036,Unknown Offense,-76.6463445031,39.2913360704
21037,Unknown Offense,-76.6479536363,39.3069347758
21038,Unknown Offense,-76.6423472277,39.3070066174
21039,Unknown Offense,-76.6415206496,39.3101336559
21040,Unknown Offense,-76.6415206496,39.3101336559
21041,Unknown Offense,-76.6721074547,39.3045240766
21042,Unknown Offense,-76.6462773119,39.3054905239
21043,Unknown Offense,-76.5946308966,39.324580461
21044,Unknown Offense,-76.6411725106,39.3101458091
21045,Unknown Offense,-76.6389489672,39.2990670787
21046,Unknown Offense,-76.6389489672,39.2990670787
21047,79-Other,-76.6120468326,39.2745658331
21048,Unknown Offense,-76.6644344791,39.3019046627
21049,Unknown Offense,-76.5840863735,39.3052660052
21050,Unknown Offense,-76.632468349,39.2821210312
21051,4A-Agg. Asslt.- Gun,-76.6034932915,39.3006848864
21052,79-Other,-76.6279455591,39.2980721119
21053,79-Other,-76.6279455591,39.2980721119
