,Longitude,Latitude
113,-76.654354549,39.3202860673
114,-76.5891015649,39.3103620057
115,-76.6458292893,39.2948764636
116,-76.6270427782,39.3132214327
117,-76.638590598,39.3099928948
118,-76.5757986519,39.3226382879
119,-76.6395933695,39.2948819269
120,-76.6729632457,39.3092063603
121,-76.6608306986,39.2883410494
122,-76.5964874108,39.3104012497
123,-76.6418999123,39.3005339116
124,-76.6725686033,39.340401641
125,-76.6637100421,39.3355624655
126,-76.630830097,39.2978509091
127,-76.6670303491,39.3078982325
128,-76.6058739851,39.3120649129
129,-76.6056760704,39.3383208107
130,-76.581003852,39.3071372359
131,-76.5729974881,39.2945679863
132,-76.6491506274,39.311501709
133,-76.6342574922,39.2932116494
134,-76.5784869917,39.2975356011
135,-76.6743107262,39.3419283433
136,-76.6333473017,39.295404494
137,-76.6388367806,39.3096674951
138,-76.5849482842,39.3104855297
139,-76.672345259,39.3476992366
140,-76.6059069132,39.3124887174
141,-76.648640163,39.2834409095
142,-76.6090835507,39.3143277094
143,-76.6475009418,39.314982174
144,-76.5719169948,39.3251752986
145,-76.6365141788,39.2822068913
146,-76.6068224198,39.3578930649
147,-76.606882854,39.3056027728
148,-76.6029415538,39.3077876319
149,-76.592756613,39.2696549993
150,-76.5909451645,39.3237244729
151,-76.6506097555,39.3116621739
152,-76.5774549111,39.2970939867
153,-76.5940655686,39.314526729
154,-76.6434857592,39.3136257467
155,-76.6183994545,39.2924420693
156,-76.6495870085,39.309151976
157,-76.6864524195,39.3495030286
158,-76.6306380596,39.3016967701
159,-76.5852833117,39.3095975584
160,-76.5912999861,39.309125128
161,-76.6468850495,39.3123705267
162,-76.5606295043,39.3485341129
163,-76.6509194789,39.2672168234
164,-76.5896121661,39.3102322194
165,-76.6445163195,39.2913302574
166,-76.6301027346,39.3029158132
167,-76.6704943259,39.3074749276
168,-76.6479504683,39.3095476459
169,-76.5873937218,39.2991249482
170,-76.584899985,39.3091087995
171,-76.6407330716,39.3052770751
172,-76.6768961158,39.3463746921
173,-76.5359974633,39.2804618434
174,-76.6642404843,39.3094584438
175,-76.5830729865,39.2972601934
176,-76.652574374,39.3115164758
177,-76.5877149925,39.3118418725
178,-76.6395890781,39.2851865868
179,-76.6717851942,39.3056171443
180,-76.5962913735,39.3039859549
181,-76.5941250056,39.3025224219
182,-76.638726612,39.3042272192
183,-76.6589814912,39.2806585204
184,-76.6660903905,39.2999180963
185,-76.5943800293,39.3057068006
186,-76.5846766867,39.3010629701
187,-76.641336063,39.3003341199
188,-76.6499536138,39.2954542829
189,-76.6414316328,39.2885977642
190,-76.6495269853,39.3080683652
191,-76.6311940532,39.3163418569
192,-76.6496742134,39.2688006568
193,-76.6576726483,39.283026049
194,-76.6329327134,39.3052186818
195,-76.5798164614,39.2961510144
196,-76.5840958116,39.3010474112
197,-76.5825705697,39.3102826523
198,-76.6078449721,39.3505292606
199,-76.5975468659,39.3038878358
200,-76.6913120257,39.3373677548
201,-76.5927710812,39.3117026442
202,-76.5961763887,39.3065964967
203,-76.6505970608,39.3114492468
204,-76.6677349997,39.2945757953
205,-76.6526631216,39.2888398351
206,-76.6664047445,39.2969071467
207,-76.5981391768,39.3015393846
208,-76.5839932023,39.307250384
209,-76.5930111624,39.3151264731
210,-76.5867269386,39.3038642306
211,-76.667242706,39.2971822215
212,-76.6039127461,39.3054231275
213,-76.5815625649,39.3015957944
214,-76.647138917,39.2874542321
215,-76.6077233943,39.313799331
216,-76.6654944674,39.2949732106
217,-76.6482855773,39.307626968
218,-76.5724519857,39.2962264579
219,-76.685221751,39.2853750204
220,-76.5739105403,39.2973467399
221,-76.6569027388,39.2997967425
222,-76.6552711176,39.2840703272
223,-76.6035325905,39.3062546621
224,-76.6653490648,39.3065120565
225,-76.6679851485,39.3072844218
226,-76.5926399844,39.3094943203
227,-76.6581194652,39.2890480693
228,-76.602072732,39.238945095
229,-76.6330308842,39.282208076
230,-76.5908690214,39.3106181287
231,-76.6362729344,39.2810751224
232,-76.6551394551,39.2938877053
233,-76.6377419751,39.2862166542
234,-76.5388530894,39.3215249874
235,-76.5902157059,39.3137336367
236,-76.5971294644,39.3159173374
237,-76.6506952416,39.2674614916
238,-76.6359900159,39.2962529745
239,-76.6295685243,39.3014346247
240,-76.6488101553,39.3112555584
241,-76.5772735128,39.2992267397
242,-76.6743971172,39.3472732743
243,-76.6319701519,39.3002547921
244,-76.6599594685,39.3365731281
245,-76.6071023141,39.304196575
246,-76.6675759192,39.3011031996
247,-76.6707106187,39.3451438137
248,-76.5962365952,39.3117657878
249,-76.6314580195,39.2959145016
250,-76.6783350006,39.3447483923
251,-76.6563253685,39.2889475647
252,-76.6399666238,39.2851290961
253,-76.6508889112,39.3099191584
254,-76.6414206339,39.3132630303
255,-76.6478730394,39.3000083522
256,-76.6481502345,39.2991110324
257,-76.5954756481,39.3114851105
258,-76.5741243269,39.2989794707
259,-76.6440197117,39.2834001446
260,-76.5788729278,39.2970352214
261,-76.663833439,39.3078539891
262,-76.5864533344,39.3039403224
263,-76.6462530817,39.284039838
264,-76.680113719,39.311007328
265,-76.5661194602,39.3303531085
266,-76.657227215,39.2863192015
267,-76.5900263974,39.31040046
268,-76.6096042094,39.3038860626
269,-76.5773070009,39.2951290736
270,-76.584675586,39.3103228337
271,-76.6305574775,39.3038278638
272,-76.5841809195,39.3103426286
273,-76.6475130135,39.3054388198
274,-76.6397101445,39.2998348013
275,-76.6804006973,39.3457505341
276,-76.645490866,39.2836127487
277,-76.6490440015,39.2815132171
278,-76.6621484313,39.3366992918
279,-76.6385760877,39.299298319
280,-76.6456526253,39.2846292485
281,-76.6521897768,39.2875221329
282,-76.637509642,39.3071365429
283,-76.6449744524,39.2898836093
284,-76.6480981716,39.2982000397
285,-76.6622507997,39.2988147564
286,-76.5935706396,39.3083874568
287,-76.642244365,39.3110804234
288,-76.6395714743,39.3003514813
289,-76.64538014,39.2844711103
290,-76.6317043922,39.3133104937
291,-76.6803256338,39.3319240012
292,-76.6545080336,39.2799930263
293,-76.6758910903,39.2961433453
294,-76.6666334542,39.3079149971
295,-76.671277228,39.3041700748
296,-76.6411317819,39.2886466326
297,-76.6824817098,39.3402463494
298,-76.6591172239,39.3290434518
299,-76.589592197,39.3026493252
300,-76.5919654411,39.3120163911
301,-76.583884816,39.3070289987
302,-76.6497981797,39.2873186169
303,-76.5935183659,39.323402002
304,-76.6354901215,39.3084913147
305,-76.670972703,39.2869748772
306,-76.5912648931,39.3240836322
307,-76.643012595,39.3094409069
308,-76.6373885209,39.2949148658
309,-76.6478568875,39.2946344287
310,-76.6499548922,39.2948644898
311,-76.6714917475,39.3498689437
312,-76.6378331951,39.3089214978
313,-76.6479059553,39.2839999884
314,-76.6745326471,39.3493722333
315,-76.6582541002,39.2807250569
316,-76.63170654,39.3134095517
317,-76.6282528894,39.3020645146
318,-76.5913073045,39.3092402421
319,-76.6743732028,39.3452218209
320,-76.5946740075,39.3197272325
321,-76.6521848859,39.2865449098
322,-76.6055993195,39.3409304471
323,-76.6729729538,39.3491209007
324,-76.6517038629,39.2831496859
325,-76.6754036624,39.2834274444
326,-76.6493409078,39.2958741362
327,-76.5747586815,39.3154972013
328,-76.5826191912,39.3078410739
329,-76.6461167328,39.2908121422
330,-76.682755287,39.2920668111
331,-76.600808422,39.3594959137
332,-76.6477576281,39.2825323769
333,-76.6449785369,39.2870558889
334,-76.6493491654,39.2846890498
335,-76.6584478276,39.2786068105
336,-76.648360952,39.3100313725
337,-76.5901007567,39.3226856482
338,-76.6955219171,39.2951169589
339,-76.6345231737,39.3071341603
340,-76.64563219,39.2910699821
341,-76.6478869446,39.3117486781
342,-76.6469796847,39.2968279566
343,-76.585321514,39.2877404745
344,-76.6646016462,39.2927836432
345,-76.5548692275,39.3386444184
346,-76.6304423537,39.2823631803
347,-76.6486910226,39.2843586608
348,-76.6755057601,39.346789654
349,-76.6440986101,39.2885685325
350,-76.6479072723,39.3011533641
351,-76.6520733573,39.3052759555
352,-76.6483534794,39.2871991283
353,-76.6381711559,39.306700444
354,-76.5769018499,39.2991668796
355,-76.63685606,39.2963297274
356,-76.564070081,39.3279042623
357,-76.6703609136,39.3419642969
358,-76.6571034057,39.2949609665
359,-76.6344709811,39.3048760712
360,-76.6472071987,39.3107091296
361,-76.5815070911,39.3005250751
362,-76.591100088,39.3099212726
363,-76.5760822095,39.3080093926
364,-76.5739924148,39.2986552776
365,-76.6332084477,39.295149991
366,-76.6632595531,39.2990134032
367,-76.5917179946,39.3079355718
368,-76.6411991371,39.2836467584
369,-76.6362358781,39.2998288432
370,-76.6428876841,39.3086651099
371,-76.6648175744,39.3383881892
372,-76.5884244867,39.2979948711
373,-76.6655943747,39.2949685273
374,-76.6002549274,39.3055392442
375,-76.6021675176,39.2285396093
376,-76.6352267845,39.305412429
377,-76.6401334909,39.2841796015
378,-76.6049694221,39.3119233423
379,-76.5989439245,39.2886448596
380,-76.5879744551,39.2228111771
381,-76.6452463776,39.2943123259
382,-76.6595758872,39.2881392493
383,-76.6418186469,39.3107260466
384,-76.5940509086,39.3233755626
385,-76.6517955697,39.2843183573
386,-76.5896747414,39.3224398885
387,-76.5890484313,39.2999799133
388,-76.6605747002,39.3323877297
389,-76.5888310023,39.3068396146
390,-76.6108450081,39.3140631079
391,-76.5862367898,39.2974160355
392,-76.5931790569,39.3124477052
393,-76.6748437488,39.3441438804
394,-76.5880063241,39.3052031143
395,-76.6500126644,39.2803010274
396,-76.6499501647,39.2686043924
397,-76.6718150191,39.3060786701
398,-76.5804469635,39.2987273645
399,-76.6768683433,39.3472678798
400,-76.6342730834,39.3046319939
401,-76.5852892634,39.3105714928
402,-76.6643631181,39.334718394
403,-76.6009762658,39.312087942
404,-76.6436132678,39.3008638409
405,-76.603408752,39.3125916031
406,-76.6489472546,39.2981706687
407,-76.5717640555,39.2979496284
408,-76.6377258766,39.3021486657
409,-76.6493858633,39.2966587631
410,-76.6668260578,39.3104932501
411,-76.6748577399,39.2856341917
412,-76.6721717758,39.3455799129
413,-76.6448477004,39.2923164731
414,-76.6643212564,39.3346737821
415,-76.6029311387,39.3076082536
416,-76.6572498359,39.2879016788
417,-76.6069598343,39.3025293733
418,-76.6566631268,39.2887499702
419,-76.671491306,39.3466456598
420,-76.6770321165,39.3471618504
421,-76.6720169372,39.3505927998
422,-76.6827357056,39.2917952458
423,-76.6060021092,39.3388535933
424,-76.6413395558,39.3067595658
425,-76.6460765668,39.2897392996
426,-76.6490428443,39.2901575179
427,-76.5756155391,39.2981808045
428,-76.6405949132,39.3095984715
429,-76.5442082149,39.3014323195
430,-76.6089435067,39.3137534327
431,-76.6045676054,39.2985683422
432,-76.6409940857,39.2998394413
433,-76.6572000417,39.2992580314
434,-76.5832087436,39.3095205378
435,-76.6553266066,39.2853343119
436,-76.6689977327,39.3078131445
437,-76.6471090295,39.3016807704
438,-76.5711113516,39.2964779026
439,-76.6479472359,39.2854875184
440,-76.6518639443,39.3103384576
441,-76.5803149888,39.2981444343
442,-76.6447258165,39.2866254589
443,-76.5314835841,39.2774908686
444,-76.5890497168,39.3000149726
445,-76.6305461242,39.299060579
