n,name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1,Latitude,Longitude
951,PETE'S GRILLE,21218,Better Waverly,14,NORTHERN,"3130 GREENMOUNT AVE",39.32705074899394,-76.60945597531219
952,"PETE'S INN, INCORPORATED",21231,Fells Point,1,SOUTHEASTERN,"504 ANN ST",39.285467312567505,-76.59143586467263
953,PETIT LOUIS BISTRO,21210,Roland Park,6,NORTHERN,"4800 ROLAND AVE",39.35039379124157,-76.63517201727399
954,PETTIFORD'S SEAFOOD & SOUL FOOD,21218,East Baltimore Midway,12,EASTERN,"2002 HARFORD RD",39.31306800078869,-76.59901874042174
955,PF CHANGS CHINA BISTRO,21202,Inner Harbor,11,CENTRAL,"600 PRATT ST",39.286768033519024,-76.60777179872872
956,PHANTOM'S BAR AND GRILL,21213,Belair-Edison,3,NORTHEASTERN,"3539 BELAIR RD",39.32412762409166,-76.57024087651445
957,PHILLIP'S EXPRESS BUFFET,21202,Inner Harbor,11,CENTRAL,"301 light",39.28577734125241,-76.61267164607881
958,PHILLIP'S OF HARBOR PLACE,21202,Inner Harbor,11,CENTRAL,"301 light st",39.28577734125241,-76.61267164607881
959,PICCADELIS,21201,Mount Vernon,11,CENTRAL,"202 READ ST",39.30045590481723,-76.61884657291023
960,PICKLES PUB,21230,Inner Harbor,11,SOUTHERN,"520 WASHINGTON BLVD",39.28537640190052,-76.62284430851724
961,PIER 5 HOTEL,21202,Inner Harbor,11,CENTRAL,"711 EASTERN AVE",39.28502143858958,-76.60521060058795
962,PIMLICO TRACK KITCHEN  (PIMLICO RACE COURSE),21215,Pimlico Good Neighbors,5,NORTHWESTERN,"Haward Ave",39.34633818336158,-76.6843857938685
963,PIZZA PRESTO,21224,Pulaski Industrial Area,2,SOUTHEASTERN,"6500 EASTERN AVENUE",39.28789498296817,-76.53697437216874
964,PIZZERIA UNO,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST",39.286603695005624,-76.61100961440138
965,"PLAZA SALOON, INC.",21202,Downtown,11,CENTRAL,"404 BALTIMORE ST",39.28976808283187,-76.60988139061288
966,"POLISH NATIONAL ALLIANCE, COUNCIL 21",21231,Fells Point,1,SOUTHEASTERN,"1627 EASTERN AVE",39.285523257593354,-76.59427973502096
967,POLLO REAL,21224,Baltimore Highlands,2,SOUTHEASTERN,"101 EATON ST",39.2912727700234,-76.56554499540442
968,POLOCK JOHNNY'S,21230,Morrell Park,10,SOUTHWESTERN,"3212 WASHINGTON BLVD",39.25761048843441,-76.6636799730515
969,POL'S CAF,21224,Canton,1,SOUTHEASTERN,"2619 21 FOSTER AVE",39.29058294954456,-76.60925984306652
970,PONCABIRD PUB/SNACK SHACK,21224,Canton Industrial Area,1,SOUTHEASTERN,"1719 PONCABIRD PASS",39.27224215325384,-76.55240958033704
971,POPEYES FAMOUS FRIED CHICKEN,21231,Dunbar-Broadway,12,SOUTHEASTERN,"300 BROADWAY",39.29485791016549,-76.59419581748222
972,POPEYES FAMOUS FRIED CHICKEN,21224,Baltimore Highlands,1,SOUTHEASTERN,"3400 PULASKI HWY",39.29611783786902,-76.56912430793966
973,POPEYES FAMOUS FRIED CHICKEN,21229,Rognel Heights,8,SOUTHWESTERN,"4404 EDMONDSON AVE",39.29355835563467,-76.69101209852874
974,POPEYES FAMOUS FRIED CHICKEN,21206,Frankford,2,NORTHEASTERN,"5002 SINCLAIR LN",39.3220882323871,-76.54832666993906
975,POPEYES FAMOUS FRIED CHICKEN,21212,Winston-Govans,4,NORTHERN,"5002 YORK RD",39.3494998372488,-76.60970656240715
976,POPEYES FAMOUS FRIED CHICKEN,21206,Rosemont East,2,NORTHEASTERN,"6642 BELAIR RD",39.354483602137634,-76.53103976397313
977,POPEYES FAMOUS FRIED CHICKEN,21230,Riverside,10,SOUTHERN,"887 FORT AVE",39.27173046688864,-76.60162199805598
978,POPEYE'S FAMOUS FRIED CHICKEN & BISCUITS,21215,Reisterstown Station,5,NORTHWESTERN,"6512 reisterstown RD",39.35681697412514,-76.70333747714204
979,POPEYES OF MONDAWMIN,21215,Mondawmin,7,WESTERN,"2401 LIBERTY HEIGHTS AVE",39.31907392702118,-76.65523878164367
980,PORT IN A STORM,21224,Kresson,2,SOUTHEASTERN,"4330 LOMBARD ST",39.29168769473239,-76.56004140798382
981,PORT TRUCK STOP BAR  RESTAURANT,21224,Canton Industrial Area,1,SOUTHEASTERN,"1701 CLINTON ST",39.27246243679309,-76.56901474983005
982,PORTERS PUB,21230,Federal Hill,10,SOUTHERN,"1032 RIVERSIDE AVE",39.27747533971626,-76.609065526552
983,REISTERSTOWN ROAD SUBWAY,21215,Woodmere,5,NORTHWESTERN,"5520 REISTERSTOWN ROAD",39.348351628725766,-76.69128072602388
984,RENAISSANCE HARBORPLACE HOTEL,21202,Inner Harbor,11,CENTRAL,"200 PRATT ST",39.286427701278456,-76.61795145339607
985,RENAISSANCE HARBORPLACE HOTEL,21202,Inner Harbor,11,CENTRAL,"200 202 E PRATT ST",39.29058294954456,-76.60925984306652
986,RENAISSANCE HARBORPLACE HOTEL,21202,Inner Harbor,11,CENTRAL,"200 202 E PRATT ST",39.29058294954456,-76.60925984306652
987,RENAISSANCE HARBORPLACE HOTEL,21202,Inner Harbor,11,CENTRAL,"200 202 E PRATT ST",39.29058294954456,-76.60925984306652
988,RENDEZVOUS  LOUNGE,21218,Charles Village,7,NORTHERN,"136 25TH ST",39.31778835874684,-76.61950159592112
989,restaurante el trovador,21231,Fells Point,1,SOUTHEASTERN,"318 broadway",39.28696850319494,-76.59370629850605
990,restaurate el salvador,21231,Fells Point,1,SOUTHEASTERN,"207 broadway",39.28898252232665,-76.59356527042007
991,RICK'S BAR & GRILL,21226,Curtis Bay,10,SOUTHERN,"5014 CURTIS AVE",39.22060726951099,-76.58642529279223
